urut      idcoa                    nmcoa                                                  induk                    level     groupcoa                                               
524       511555.01.02             BIAYA MAINTENANCE UTILITY  ADJUST                      511555.01                7         BIAYA                                                  
525       511555.02                BIAYA MAINTENANCE UMUM                                 511555                   6         BIAYA                                                  
526       511555.02.01             BIAYA MAINTENANCE UMUM  PB                             511555.02                7         BIAYA                                                  
527       511555.02.02             BIAYA MAINTENANCE UMUM  ADJUST                         511555.02                7         BIAYA                                                  
528       511555.03                BIAYA MAINTENANCE KONSTRUKSI                           511555                   6         BIAYA                                                  
529       511555.03.01             BIAYA MAINTENANCE KONSTRUKSI  PB                       511555.03                7         BIAYA                                                  
530       511555.03.02             BIAYA MAINTENANCE KONSTRUKSI  ADJUST                   511555.03                7         BIAYA                                                  
531       511556                   GAS NEGARA                                             5115                     5         BIAYA                                                  
532       511556.28                GAS NEGARA_EAF                                         511556                   6         BIAYA                                                  
533       511556.29                GAS NEGARA_LF                                          511556                   6         BIAYA                                                  
534       511556.30                GAS NEGARA_VD                                          511556                   6         BIAYA                                                  
535       511556.31                GAS NEGARA_CCM                                         511556                   6         BIAYA                                                  
536       511556.37                GAS NEGARA_FURNACE                                     511556                   6         BIAYA                                                  
537       511557                   BIAYA LISTRIK                                          5115                     5         BIAYA                                                  
538       511557.10                BIAYA LISTRIK_MANAJEMEN STRATEGIS                      511557                   6         BIAYA                                                  
539       511557.11                BIAYA LISTRIK_QUALITY ASSURANCE                        511557                   6         BIAYA                                                  
540       511557.12                BIAYA LISTRIK_K3                                       511557                   6         BIAYA                                                  
541       511557.19                BIAYA LISTRIK_PPIC                                     511557                   6         BIAYA                                                  
542       511557.20                BIAYA LISTRIK_LOGISTIK                                 511557                   6         BIAYA                                                  
543       511557.21                BIAYA LISTRIK_QUALITY CONTROL                          511557                   6         BIAYA                                                  
544       511557.22                BIAYA LISTRIK_ENGINEERING                              511557                   6         BIAYA                                                  
545       511557.23                BIAYA LISTRIK_MAINTENANCE MEKANIK                      511557                   6         BIAYA                                                  
546       511557.24                BIAYA LISTRIK_BUILDING                                 511557                   6         BIAYA                                                  
547       511557.25                BIAYA LISTRIK_UTILITY                                  511557                   6         BIAYA                                                  
548       511557.26                BIAYA LISTRIK_WORKSHOP                                 511557                   6         BIAYA                                                  
549       511557.27                BIAYA LISTRIK_MAINTENANCE LISTRIK                      511557                   6         BIAYA                                                  
550       511557.28                BIAYA LISTRIK_EAF                                      511557                   6         BIAYA                                                  
551       511557.29                BIAYA LISTRIK_LF                                       511557                   6         BIAYA                                                  
552       511557.30                BIAYA LISTRIK_VD                                       511557                   6         BIAYA                                                  
553       511557.31                BIAYA LISTRIK_CCM                                      511557                   6         BIAYA                                                  
554       511557.32                BIAYA LISTRIK_LAB CHEMICAL                             511557                   6         BIAYA                                                  
555       511557.33                BIAYA LISTRIK_BILLET INSPECTION                        511557                   6         BIAYA                                                  
556       511557.34                BIAYA LISTRIK_FESI                                     511557                   6         BIAYA                                                  
557       511557.35                BIAYA LISTRIK_FOUNDRY                                  511557                   6         BIAYA                                                  
558       511557.36                BIAYA LISTRIK_OTHERS                                   511557                   6         BIAYA                                                  
559       511557.37                BIAYA LISTRIK_FURNACE                                  511557                   6         BIAYA                                                  
560       511557.38                BIAYA LISTRIK_ROLLING MILL                             511557                   6         BIAYA                                                  
561       511557.40                BIAYA LISTRIK_FINISHING LINE                           511557                   6         BIAYA                                                  
562       511557.41                BIAYA LISTRIK_BAR INSPECTION                           511557                   6         BIAYA                                                  
563       511557.41.1              BIAYA LISTRIK_ROUND BAR INSPECTION                     511557.41                7         BIAYA                                                  
564       511557.41.2              BIAYA LISTRIK_FLAT BAR INSPECTION                      511557.41                7         BIAYA                                                  
565       511557.42                BIAYA LISTRIK_OTHERS SUPPORTING JTS 2                  511557                   6         BIAYA                                                  
566       511558                   UPAH TENAGA KERJA LANGSUNG                             5115                     5         BIAYA                                                  
567       511558.05.28             DIRECT LABOUR - GAJI - EAF LF                          511558                   6         BIAYA                                                  
568       511558.05.30             DIRECT LABOUR - GAJI - VD                              511558                   6         BIAYA                                                  
569       511558.05.31             DIRECT LABOUR - GAJI - CCM                             511558                   6         BIAYA                                                  
570       511558.05.33             DIRECT LABOUR - GAJI - BI                              511558                   6         BIAYA                                                  
571       511558.05.36             DIRECT LABOUR - GAJI - GENERAL P1                      511558                   6         BIAYA                                                  
572       511558.05.38             DIRECT LABOUR - GAJI - ROLLING MILL                    511558                   6         BIAYA                                                  
573       511558.05.41.1           DIRECT LABOUR - GAJI - RB INSPEKSI                     511558                   6         BIAYA                                                  
574       511558.05.41.2           DIRECT LABOUR - GAJI - FB INSPEKSI                     511558                   6         BIAYA                                                  
575       511558.05.42             DIRECT LABOUR - GAJI - GENERAL P2                      511558                   6         BIAYA                                                  
576       511558.06.28             DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - EAF LF       511558                   6         BIAYA                                                  
577       511558.06.30             DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - VD           511558                   6         BIAYA                                                  
578       511558.06.31             DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - CCM          511558                   6         BIAYA                                                  
579       511558.06.33             DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - BI           511558                   6         BIAYA                                                  
580       511558.06.36             DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - GEN P1       511558                   6         BIAYA                                                  
581       511558.06.38             DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - ROLLING      511558                   6         BIAYA                                                  
582       511558.06.41.1           DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - RB INSP.     511558                   6         BIAYA                                                  
583       511558.06.41.2           DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - FB INSP.     511558                   6         BIAYA                                                  
584       511558.06.42             DIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - GEN P2       511558                   6         BIAYA                                                  
585       511558.07.28             DIRECT LABOUR - LEMBUR - EAF LF                        511558                   6         BIAYA                                                  
586       511558.07.30             DIRECT LABOUR - LEMBUR - VD                            511558                   6         BIAYA                                                  
587       511558.07.31             DIRECT LABOUR - LEMBUR - CCM                           511558                   6         BIAYA                                                  
588       511558.07.33             DIRECT LABOUR - LEMBUR - BI                            511558                   6         BIAYA                                                  
589       511558.07.36             DIRECT LABOUR - LEMBUR - GENERAL P1                    511558                   6         BIAYA                                                  
590       511558.07.38             DIRECT LABOUR - LEMBUR - ROLLING MILL                  511558                   6         BIAYA                                                  
591       511558.07.41.1           DIRECT LABOUR - LEMBUR - RB INSPEKSI                   511558                   6         BIAYA                                                  
592       511558.07.41.2           DIRECT LABOUR - LEMBUR - FB INSPEKSI                   511558                   6         BIAYA                                                  
593       511558.07.42             DIRECT LABOUR - LEMBUR - GENERAL P2                    511558                   6         BIAYA                                                  
594       511558.08.28             DIRECT LABOUR - GAJI OUTSOURCING - EAF LF              511558                   6         BIAYA                                                  
595       511558.08.30             DIRECT LABOUR - GAJI OUTSOURCING - VD                  511558                   6         BIAYA                                                  
596       511558.08.31             DIRECT LABOUR - GAJI OUTSOURCING - CCM                 511558                   6         BIAYA                                                  
597       511558.08.33             DIRECT LABOUR - GAJI OUTSOURCING - BI                  511558                   6         BIAYA                                                  
598       511558.08.36             DIRECT LABOUR - GAJI OUTSOURCING - GENERAL P1          511558                   6         BIAYA                                                  
599       511558.08.38             DIRECT LABOUR - GAJI OUTSOURCING - ROLLING MILL        511558                   6         BIAYA                                                  
600       511558.08.41.1           DIRECT LABOUR - GAJI OUTSOURCING - RB INSPEKSI         511558                   6         BIAYA                                                  
601       511558.08.41.2           DIRECT LABOUR - GAJI OUTSOURCING - FB INSPEKSI         511558                   6         BIAYA                                                  
602       511558.08.42             DIRECT LABOUR - GAJI OUTSOURCING - GENERAL P2          511558                   6         BIAYA                                                  
603       511558.09.28             DIRECT LABOUR - LEMBUR OUTSOURCING - EAF LF            511558                   6         BIAYA                                                  
604       511558.09.30             DIRECT LABOUR - LEMBUR OUTSOURCING - VD                511558                   6         BIAYA                                                  
605       511558.09.31             DIRECT LABOUR - LEMBUR OUTSOURCING - CCM               511558                   6         BIAYA                                                  
606       511558.09.33             DIRECT LABOUR - LEMBUR OUTSOURCING - BI                511558                   6         BIAYA                                                  
607       511558.09.36             DIRECT LABOUR - LEMBUR OUTSOURCING - GENERAL P1        511558                   6         BIAYA                                                  
608       511558.09.38             DIRECT LABOUR - LEMBUR OUTSOURCING - ROLLING MILL      511558                   6         BIAYA                                                  
609       511558.09.41.1           DIRECT LABOUR - LEMBUR OUTSOURCING - RB INSPEKSI       511558                   6         BIAYA                                                  
610       511558.09.41.2           DIRECT LABOUR - LEMBUR OUTSOURCING - FB INSPEKSI       511558                   6         BIAYA                                                  
611       511558.09.42             DIRECT LABOUR - LEMBUR OUTSOURCING - GENERAL P2        511558                   6         BIAYA                                                  
612       511558.10                UPAH TENAGA KERJA LANGSUNG_MANAJEMEN STRATEGIS         511558                   6         BIAYA                                                  
613       511558.11                UPAH TENAGA KERJA LANGSUNG_QUALITY ASSURANCE           511558                   6         BIAYA                                                  
614       511558.12                UPAH TENAGA KERJA LANGSUNG_K3                          511558                   6         BIAYA                                                  
615       511558.19                UPAH TENAGA KERJA LANGSUNG_PPIC                        511558                   6         BIAYA                                                  
616       511558.20                UPAH TENAGA KERJA LANGSUNG_LOGISTIK                    511558                   6         BIAYA                                                  
617       511558.21                UPAH TENAGA KERJA LANGSUNG_QUALITY CONTROL             511558                   6         BIAYA                                                  
618       511558.22                UPAH TENAGA KERJA LANGSUNG_ENGINEERING                 511558                   6         BIAYA                                                  
619       511558.23                UPAH TENAGA KERJA LANGSUNG_MAINTENANCE MEKANIK         511558                   6         BIAYA                                                  
620       511558.24                UPAH TENAGA KERJA LANGSUNG_BUILDING                    511558                   6         BIAYA                                                  
621       511558.25                UPAH TENAGA KERJA LANGSUNG_UTILITY                     511558                   6         BIAYA                                                  
622       511558.26                UPAH TENAGA KERJA LANGSUNG_WORKSHOP                    511558                   6         BIAYA                                                  
623       511558.27                UPAH TENAGA KERJA LANGSUNG_MAINTENANCE LISTRIK         511558                   6         BIAYA                                                  
624       511558.28                UPAH TENAGA KERJA LANGSUNG_EAF                         511558                   6         BIAYA                                                  
625       511558.29                UPAH TENAGA KERJA LANGSUNG_LF                          511558                   6         BIAYA                                                  
626       511558.30                UPAH TENAGA KERJA LANGSUNG_VD                          511558                   6         BIAYA                                                  
627       511558.31                UPAH TENAGA KERJA LANGSUNG_CCM                         511558                   6         BIAYA                                                  
628       511558.32                UPAH TENAGA KERJA LANGSUNG_LAB CHEMICAL                511558                   6         BIAYA                                                  
629       511558.33                UPAH TENAGA KERJA LANGSUNG_BILLET INSPECTION           511558                   6         BIAYA                                                  
630       511558.34                UPAH TENAGA KERJA LANGSUNG_FESI                        511558                   6         BIAYA                                                  
631       511558.35                UPAH TENAGA KERJA LANGSUNG_FOUNDRY                     511558                   6         BIAYA                                                  
632       511558.36                UPAH TENAGA KERJA LANGSUNG_OTHERS                      511558                   6         BIAYA                                                  
633       511558.37                UPAH TENAGA KERJA LANGSUNG_FURNACE                     511558                   6         BIAYA                                                  
634       511558.38                UPAH TENAGA KERJA LANGSUNG_ROLLING MILL                511558                   6         BIAYA                                                  
635       511558.39                UPAH TENAGA KERJA LANGSUNG_ROLL MAINTENANCE            511558                   6         BIAYA                                                  
636       511558.40                UPAH TENAGA KERJA LANGSUNG_FINISHING LINE              511558                   6         BIAYA                                                  
637       511558.41                UPAH TENAGA KERJA LANGSUNG_BAR INSPECTION              511558                   6         BIAYA                                                  
638       511558.41.1              UPAH TENAGA KERJA LANGSUNG_ROUND BAR INSPECTION        511558.41                7         BIAYA                                                  
639       511558.41.2              UPAH TENAGA KERJA LANGSUNG_FLAT BAR INSPECTION         511558.41                7         BIAYA                                                  
640       511558.42                UPAH TENAGA KERJA LANGSUNG_OTHERS SUPPORTING JTS 2     511558                   6         BIAYA                                                  
641       511559                   GAJI & LEMBUR PRODUKSI                                 5115                     5         BIAYA                                                  
642       511559.01                GAJI PRODUKSI                                          511559                   6         BIAYA                                                  
643       511559.01.10             GAJI PRODUKSI_MANAJEMEN STRATEGIS                      511559.01                7         BIAYA                                                  
644       511559.01.11             GAJI PRODUKSI_QUALITY ASSURANCE                        511559.01                7         BIAYA                                                  
645       511559.01.12             GAJI PRODUKSI_K3                                       511559.01                7         BIAYA                                                  
646       511559.01.19             GAJI PRODUKSI_PPIC                                     511559.01                7         BIAYA                                                  
647       511559.01.20             GAJI PRODUKSI_LOGISTIK                                 511559.01                7         BIAYA                                                  
648       511559.01.21             GAJI PRODUKSI_QUALITY CONTROL                          511559.01                7         BIAYA                                                  
649       511559.01.22             GAJI PRODUKSI_ENGINEERING                              511559.01                7         BIAYA                                                  
650       511559.01.23             GAJI PRODUKSI_MAINTENANCE MEKANIK                      511559.01                7         BIAYA                                                  
651       511559.01.24             GAJI PRODUKSI_BUILDING                                 511559.01                7         BIAYA                                                  
652       511559.01.25             GAJI PRODUKSI_UTILITY                                  511559.01                7         BIAYA                                                  
653       511559.01.26             GAJI PRODUKSI_WORKSHOP                                 511559.01                7         BIAYA                                                  
654       511559.01.27             GAJI PRODUKSI_MAINTENANCE LISTRIK                      511559.01                7         BIAYA                                                  
655       511559.01.28             GAJI PRODUKSI_EAF                                      511559.01                7         BIAYA                                                  
656       511559.01.29             GAJI PRODUKSI_LF                                       511559.01                7         BIAYA                                                  
657       511559.01.30             GAJI PRODUKSI_VD                                       511559.01                7         BIAYA                                                  
658       511559.01.31             GAJI PRODUKSI_CCM                                      511559.01                7         BIAYA                                                  
659       511559.01.32             GAJI PRODUKSI_LAB CHEMICAL                             511559.01                7         BIAYA                                                  
660       511559.01.33             GAJI PRODUKSI_BILLET INSPECTION                        511559.01                7         BIAYA                                                  
661       511559.01.34             GAJI PRODUKSI_FESI                                     511559.01                7         BIAYA                                                  
662       511559.01.35             GAJI PRODUKSI_FOUNDRY                                  511559.01                7         BIAYA                                                  
663       511559.01.36             GAJI PRODUKSI_OTHERS                                   511559.01                7         BIAYA                                                  
664       511559.01.37             GAJI PRODUKSI_FURNACE                                  511559.01                7         BIAYA                                                  
665       511559.01.38             GAJI PRODUKSI_ROLLING MILL                             511559.01                7         BIAYA                                                  
666       511559.01.40             GAJI PRODUKSI_FINISHING LINE                           511559.01                7         BIAYA                                                  
667       511559.01.41             GAJI PRODUKSI_BAR INSPECTION                           511559.01                7         BIAYA                                                  
670       511559.01.42             GAJI PRODUKSI_OTHERS SUPPORTING JTS 2                  511559.01                7         BIAYA                                                  
671       511559.02                LEMBUR PRODUKSI                                        511559                   6         BIAYA                                                  
672       511559.02.10             LEMBUR PRODUKSI_MANAJEMEN STRATEGIS                    511559.02                7         BIAYA                                                  
673       511559.02.11             LEMBUR PRODUKSI_QUALITY ASSURANCE                      511559.02                7         BIAYA                                                  
674       511559.02.12             LEMBUR PRODUKSI_K3                                     511559.02                7         BIAYA                                                  
675       511559.02.19             LEMBUR PRODUKSI_PPIC                                   511559.02                7         BIAYA                                                  
676       511559.02.20             LEMBUR PRODUKSI_LOGISTIK                               511559.02                7         BIAYA                                                  
677       511559.02.21             LEMBUR PRODUKSI_QUALITY CONTROL                        511559.02                7         BIAYA                                                  
678       511559.02.22             LEMBUR PRODUKSI_ENGINEERING                            511559.02                7         BIAYA                                                  
679       511559.02.23             LEMBUR PRODUKSI_MAINTENANCE MEKANIK                    511559.02                7         BIAYA                                                  
680       511559.02.24             LEMBUR PRODUKSI_BUILDING                               511559.02                7         BIAYA                                                  
681       511559.02.25             LEMBUR PRODUKSI_UTILITY                                511559.02                7         BIAYA                                                  
682       511559.02.26             LEMBUR PRODUKSI_WORKSHOP                               511559.02                7         BIAYA                                                  
683       511559.02.27             LEMBUR PRODUKSI_MAINTENANCE LISTRIK                    511559.02                7         BIAYA                                                  
684       511559.02.28             LEMBUR PRODUKSI_EAF                                    511559.02                7         BIAYA                                                  
685       511559.02.29             LEMBUR PRODUKSI_LF                                     511559.02                7         BIAYA                                                  
686       511559.02.30             LEMBUR PRODUKSI_VD                                     511559.02                7         BIAYA                                                  
687       511559.02.31             LEMBUR PRODUKSI_CCM                                    511559.02                7         BIAYA                                                  
688       511559.02.32             LEMBUR PRODUKSI_LAB CHEMICAL                           511559.02                7         BIAYA                                                  
689       511559.02.33             LEMBUR PRODUKSI_BILLET INSPECTION                      511559.02                7         BIAYA                                                  
690       511559.02.34             LEMBUR PRODUKSI_FESI                                   511559.02                7         BIAYA                                                  
691       511559.02.35             LEMBUR PRODUKSI_FOUNDRY                                511559.02                7         BIAYA                                                  
692       511559.02.36             LEMBUR PRODUKSI_OTHERS                                 511559.02                7         BIAYA                                                  
693       511559.02.37             LEMBUR PRODUKSI_FURNACE                                511559.02                7         BIAYA                                                  
694       511559.02.38             LEMBUR PRODUKSI_ROLLING MILL                           511559.02                7         BIAYA                                                  
695       511559.02.39             LEMBUR PRODUKSI_ROLL MAINTENANCE                       511559.02                7         BIAYA                                                  
696       511559.02.40             LEMBUR PRODUKSI_FINISHING LINE                         511559.02                7         BIAYA                                                  
697       511559.02.41             LEMBUR PRODUKSI_BAR INSPECTION                         511559.02                7         BIAYA                                                  
700       511559.02.42             LEMBUR PRODUKSI_OTHERS SUPPORTING JTS 2                511559.02                7         BIAYA                                                  
701       511559.03.42             BIAYA JAMSOSTEK JTS 2                                  511559.02                7         BIAYA                                                  
702       511559.04                BIAYA TECHNICAL ASSISTANCE                             511559                   6         BIAYA                                                  
703       511559.04.36             BIAYA TECHNICAL ASSISTANCE_JTS 1                       511559.04                7         BIAYA                                                  
704       511559.04.42             BIAYA TECHNICAL ASSISTANCE_JTS 2                       511559.04                7         BIAYA                                                  
705       511559.05.28             INDIRECT LABOUR - GAJI - EAF LF                        511559                   6         BIAYA                                                  
706       511559.05.30             INDIRECT LABOUR - GAJI - VD                            511559                   6         BIAYA                                                  
707       511559.05.31             INDIRECT LABOUR - GAJI - CCM                           511559                   6         BIAYA                                                  
708       511559.05.33             INDIRECT LABOUR - GAJI - BI                            511559                   6         BIAYA                                                  
709       511559.05.36             INDIRECT LABOUR - GAJI - GENERAL P1                    511559                   6         BIAYA                                                  
710       511559.05.38             INDIRECT LABOUR - GAJI - ROLLING MILL                  511559                   6         BIAYA                                                  
711       511559.05.41.1           INDIRECT LABOUR - GAJI - RB INSPEKSI                   511559                   6         BIAYA                                                  
712       511559.05.41.2           INDIRECT LABOUR - GAJI - FB INSPEKSI                   511559                   6         BIAYA                                                  
713       511559.05.42             INDIRECT LABOUR - GAJI - GENERAL P2                    511559                   6         BIAYA                                                  
714       511559.06.28             INDIRECT LABOUR - TUNJ.  ASURANSI & BPJS - EAF LF      511559                   6         BIAYA                                                  
715       511559.06.30             INDIRECT LABOUR - TUNJ.  ASURANSI & BPJS - VD          511559                   6         BIAYA                                                  
716       511559.06.31             INDIRECT LABOUR - TUNJ.  ASURANSI & BPJS - CCM         511559                   6         BIAYA                                                  
717       511559.06.33             INDIRECT LABOUR - TUNJ.  ASURANSI & BPJS - BI          511559                   6         BIAYA                                                  
718       511559.06.36             INDIRECT LABOUR - TUNJ.  ASURANSI & BPJS - GEN P1      511559                   6         BIAYA                                                  
719       511559.06.38             INDIRECT LABOUR - TUNJ  ASURANSI & BPJS  - ROLLING     511559                   6         BIAYA                                                  
720       511559.06.41.1           INDIRECT LABOUR - TUNJ  ASURANSI & BPJS  - RB INSP     511559                   6         BIAYA                                                  
721       511559.06.41.2           INDIRECT LABOUR - TUNJ  ASURANSI & BPJS  - FB INSP     511559                   6         BIAYA                                                  
722       511559.06.42             INDIRECT LABOUR - TUNJ.  ASURANSI & BPJS  - GEN P2     511559                   6         BIAYA                                                  
723       511559.07.28             INDIRECT LABOUR - LEMBUR - EAF LF                      511559                   6         BIAYA                                                  
724       511559.07.30             INDIRECT LABOUR - LEMBUR - VD                          511559                   6         BIAYA                                                  
725       511559.07.31             INDIRECT LABOUR - LEMBUR - CCM                         511559                   6         BIAYA                                                  
726       511559.07.33             INDIRECT LABOUR - LEMBUR - BI                          511559                   6         BIAYA                                                  
727       511559.07.36             INDIRECT LABOUR - LEMBUR - GENERAL P1                  511559                   6         BIAYA                                                  
728       511559.07.38             INDIRECT LABOUR - LEMBUR - ROLLING MILL                511559                   6         BIAYA                                                  
729       511559.07.41.1           INDIRECT LABOUR - LEMBUR - RB INSPEKSI                 511559                   6         BIAYA                                                  
730       511559.07.41.2           INDIRECT LABOUR - LEMBUR - FB INSPEKSI                 511559                   6         BIAYA                                                  
731       511559.07.42             INDIRECT LABOUR - LEMBUR - GENERAL P2                  511559                   6         BIAYA                                                  
732       511559.08.28             INDIRECT LABOUR - GAJI OUTSOURCING - EAF LF            511559                   6         BIAYA                                                  
733       511559.08.36             INDIRECT LABOUR - GAJI OUTSOURCING - GENERAL P1        511559                   6         BIAYA                                                  
734       511559.08.38             INDIRECT LABOUR - GAJI OUTSOURCING - ROLLING MILL      511559                   6         BIAYA                                                  
735       511559.08.41.1           INDIRECT LABOUR - GAJI OUTSOURCING - RB INSPEKSI       511559                   6         BIAYA                                                  
736       511559.08.41.2           INDIRECT LABOUR - GAJI OUTSOURCING - FB INSPEKSI       511559                   6         BIAYA                                                  
737       511559.08.42             INDIRECT LABOUR - GAJI OUTSOURCING - GENERAL P2        511559                   6         BIAYA                                                  
738       511559.09.28             INDIRECT LABOUR - LEMBUR OUTSOURCING - EAF LF          511559                   6         BIAYA                                                  
739       511559.09.36             INDIRECT LABOUR - LEMBUR OUTSOURCING - GENERAL P1      511559                   6         BIAYA                                                  
740       511559.09.38             INDIRECT LABOUR - LEMBUR OUTSOURCING - ROLLING         511559                   6         BIAYA                                                  
741       511559.09.41.1           INDIRECT LABOUR - LEMBUR OUTSOURCING - RB INSPEKSI     511559                   6         BIAYA                                                  
742       511559.09.41.2           INDIRECT LABOUR - LEMBUR OUTSOURCING - FB INSPEKSI     511559                   6         BIAYA                                                  
743       511559.09.42             INDIRECT LABOUR - LEMBUR OUTSOURCING - GENERAL P2      511559                   6         BIAYA                                                  
744       511559.10.36             BIAYA BAJU DAN CELANA KERJA - GENERAL P1               511559                   6         BIAYA                                                  
745       511559.10.42             BIAYA BAJU DAN CELANA KERJA - GENERAL P2               511559                   6         BIAYA                                                  
746       511560                   BIAYA MAKAN                                            5115                     5         BIAYA                                                  
747       511560.14                BIAYA MAKAN_GA                                         511560                   6         BIAYA                                                  
748       511560.42                BIAYA MAKAN_OTHER JTS 2                                511560                   6         BIAYA                                                  
749       511561                   BIAYA OUTSOURCHING                                     5115                     5         BIAYA                                                  
750       511561.10                BIAYA OUTSOURCHING_MANAJEMEN STRATEGIS                 511561                   6         BIAYA                                                  
751       511561.11                BIAYA OUTSOURCHING_QUALITY ASSURANCE                   511561                   6         BIAYA                                                  
752       511561.12                BIAYA OUTSOURCHING_K3                                  511561                   6         BIAYA                                                  
753       511561.14                BIAYA OUTSOURCHING_GA                                  511561                   6         BIAYA                                                  
754       511561.19                BIAYA OUTSOURCHING_PPIC                                511561                   6         BIAYA                                                  
755       511561.20                BIAYA OUTSOURCHING_LOGISTIK                            511561                   6         BIAYA                                                  
756       511561.21                BIAYA OUTSOURCHING_QUALITY CONTROL                     511561                   6         BIAYA                                                  
757       511561.22                BIAYA OUTSOURCHING_ENGINEERING                         511561                   6         BIAYA                                                  
758       511561.23                BIAYA OUTSOURCHING_MAINTENANCE MEKANIK                 511561                   6         BIAYA                                                  
759       511561.24                BIAYA OUTSOURCHING_BUILDING                            511561                   6         BIAYA                                                  
760       511561.25                BIAYA OUTSOURCHING_UTILITY                             511561                   6         BIAYA                                                  
761       511561.26                BIAYA OUTSOURCHING_WORKSHOP                            511561                   6         BIAYA                                                  
762       511561.27                BIAYA OUTSOURCHING_MAINTENANCE LISTRIK                 511561                   6         BIAYA                                                  
763       511561.28                BIAYA OUTSOURCHING_EAF                                 511561                   6         BIAYA                                                  
764       511561.29                BIAYA OUTSOURCHING_LF                                  511561                   6         BIAYA                                                  
765       511561.30                BIAYA OUTSOURCHING_VD                                  511561                   6         BIAYA                                                  
766       511561.31                BIAYA OUTSOURCHING_CCM                                 511561                   6         BIAYA                                                  
767       511561.32                BIAYA OUTSOURCHING_LAB CHEMICAL                        511561                   6         BIAYA                                                  
768       511561.33                BIAYA OUTSOURCHING_BILLET INSPECTION                   511561                   6         BIAYA                                                  
769       511561.34                BIAYA OUTSOURCHING_FESI                                511561                   6         BIAYA                                                  
770       511561.35                BIAYA OUTSOURCHING_FOUNDRY                             511561                   6         BIAYA                                                  
771       511561.36                BIAYA OUTSOURCHING_OTHERS                              511561                   6         BIAYA                                                  
772       511561.37                BIAYA OUTSOURCHING_FURNACE                             511561                   6         BIAYA                                                  
773       511561.38                BIAYA OUTSOURCHING_ROLLING MILL                        511561                   6         BIAYA                                                  
774       511561.40                BIAYA OUTSOURCHING_FINISHING LINE                      511561                   6         BIAYA                                                  
775       511561.41                BIAYA OUTSOURCHING_BAR INSPECTION                      511561                   6         BIAYA                                                  
776       511561.41.1              BIAYA OUTSOURCHING_ROUND BAR INSPECTION                511561.41                7         BIAYA                                                  
